zone,total_transactions,total_sales_volume,transactions_app,transactions_machine,sales_volume_app,sales_volume_machine
37001,413165,942885.06,133303,279862,325880.96,617004.1
37005,247507,375510.59,76815,170692,115460.69,260049.9
37008,92355,169530.32,30216,62139,64609.52,104920.8
37009,46370,71803.16,14538,31832,25357.56,46445.6
37010,15577,29523.61,4387,11190,8421.41,21102.2
37101,26771,58768.19,14905,11866,34706.29,24061.9
37102,4750,13434.58,1644,3106,4787.38,8647.2
37103,12688,38731.03,12688,0,38731.03,0.0
37104,16527,36490.12,2666,13861,6102.12,30388.0
37105,19460,52491.03,10506,8954,28850.03,23641.0
37106,21918,60037.23,6948,14970,20611.13,39426.1
37107,7387,18394.64,1937,5450,5269.44,13125.2
37108,17176,18278.45,11259,5917,11453.05,6825.4
37109,10642,23201.2,2693,7949,6177.6,17023.6
37201,7364,12361.28,1916,5448,2991.28,9370.0
37202,20350,25031.42,3813,16537,4521.02,20510.4
37203,11860,19175.77,4028,7832,7288.47,11887.3
37204,92022,185498.48,45306,46716,94915.18,90583.3
37205,1088,1856.95,324,764,496.35,1360.6
37206,821,1836.28,379,442,842.08,994.2
37207,411,529.15,227,184,266.25,262.9
37208,2937,3394.14,629,2308,458.94,2935.2
37209,700,932.45,151,549,151.75,780.7
